Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Cade Cunningham,24.1,DET,Point,362.0,61.0,5.8,12.0,84.0,8.7,60.0,+1.4%,95.0,-4.5%,87.0,+5.6%,13.0,-5.4,36.0,3.0,58.0,-1.1%,4.0,-4.2%,54.0,-0.6%,80.0,-5.0,2025-12-01,2.0,2025-12-03
Evan Mobley,24.4,CLE,Big,329.0,74.0,10.6,25.0,78.0,7.8,79.0,+4.1%,42.0,+0.3%,79.0,+3.9%,44.0,-0.7,59.0,-2.8,73.0,-2.9%,6.0,-3.9%,75.0,-3.5%,58.0,-1.1,2025-12-01,2.0,2025-12-03
Scottie Barnes,24.3,TOR,Big,324.0,35.0,-4.3,-11.0,82.0,8.5,76.0,+3.5%,47.0,-0.0%,87.0,+5.5%,58.0,1.0,8.0,12.8,15.0,+4.9%,3.0,-4.3%,23.0,+3.2%,86.0,-6.5,2025-12-02,2.0,2025-12-04
Jalen Suggs,24.4,ORL,Combo,165.0,98.0,29.5,58.0,93.0,13.4,96.0,+8.3%,40.0,+0.3%,62.0,+1.0%,41.0,-1.2,94.0,-16.1,94.0,-6.6%,87.0,+3.0%,60.0,-1.5%,6.0,9.0,2025-12-01,2.0,2025-12-03
Josh Giddey,23.1,CHI,Point,306.0,57.0,4.8,12.0,39.0,-1.5,74.0,+3.2%,58.0,-0.7%,29.0,-2.6%,45.0,-0.6,75.0,-6.2,87.0,-5.2%,2.0,-4.4%,88.0,-6.8%,62.0,-1.6,2025-12-01,2.0,2025-12-03
Jonathan Kuminga,23.1,GSW,Forward,322.0,21.0,-10.0,-24.0,54.0,1.8,77.0,+3.6%,9.0,+3.0%,60.0,+0.7%,21.0,-3.7,9.0,11.8,12.0,+5.6%,47.0,-0.4%,70.0,-2.9%,4.0,10.3,2025-12-02,2.0,2025-12-04
Franz Wagner,24.2,ORL,Wing,348.0,59.0,5.1,12.0,46.0,-0.0,46.0,+0.0%,12.0,+2.7%,78.0,+3.8%,50.0,-0.0,68.0,-5.1,42.0,+0.8%,67.0,+1.0%,55.0,-0.9%,9.0,7.7,2025-12-01,2.0,2025-12-03
Davion Mitchell,27.2,MIA,Point,292.0,6.0,-18.8,-33.0,14.0,-8.7,10.0,-6.1%,81.0,-2.4%,6.0,-7.1%,22.0,-3.5,13.0,10.1,3.0,+8.5%,31.0,-1.5%,70.0,-2.8%,83.0,-5.7,2025-12-01,2.0,2025-12-03
Ziaire Williams,24.1,BKN,Wing,165.0,24.0,-9.0,-9.0,3.0,-17.5,4.0,-7.8%,1.0,+5.9%,62.0,+1.0%,81.0,4.4,81.0,-8.5,79.0,-3.6%,70.0,+1.2%,68.0,-2.7%,6.0,9.1,2025-12-01,2.0,2025-12-03
Moses Moody,23.4,GSW,Wing,197.0,92.0,19.9,42.0,51.0,1.1,56.0,+1.0%,62.0,-0.9%,17.0,-4.2%,20.0,-3.7,97.0,-18.7,97.0,-9.5%,81.0,+2.2%,30.0,+1.7%,49.0,-0.0,2025-12-02,2.0,2025-12-04
Corey Kispert,26.7,WAS,Wing,190.0,86.0,15.9,20.0,61.0,3.4,43.0,-0.3%,70.0,-1.5%,45.0,-1.0%,68.0,2.2,90.0,-12.5,95.0,-7.1%,31.0,-1.5%,69.0,-2.8%,25.0,3.5,2025-11-25,9.0,2025-12-04
Alperen Sengun,23.3,HOU,Big,332.0,96.0,22.6,47.0,99.0,23.7,100.0,+16.0%,94.0,-4.4%,4.0,-7.5%,30.0,-2.5,42.0,1.1,31.0,+2.4%,91.0,+3.6%,6.0,+7.6%,91.0,-8.6,2025-12-01,2.0,2025-12-03
Tre Mann,24.7,CHA,Combo,197.0,20.0,-10.1,-23.0,53.0,1.7,6.0,-7.3%,49.0,-0.2%,99.0,+10.1%,70.0,2.4,9.0,11.8,11.0,+5.7%,58.0,+0.5%,55.0,-1.0%,26.0,3.2,2025-11-29,4.0,2025-12-03
Jalen Johnson,23.9,ATL,Forward,256.0,1.0,-27.2,-56.0,5.0,-14.0,18.0,-3.9%,13.0,+2.6%,11.0,-5.9%,91.0,7.6,7.0,13.2,27.0,+3.0%,18.0,-2.3%,21.0,+3.8%,12.0,6.9,2025-12-01,2.0,2025-12-03
Isaiah Jackson,23.8,IND,Big,182.0,69.0,8.8,16.0,70.0,5.8,87.0,+5.9%,41.0,+0.3%,77.0,+3.8%,25.0,-3.0,60.0,-3.0,48.0,+0.1%,81.0,+2.3%,8.0,+6.8%,92.0,-8.9,2025-12-01,2.0,2025-12-03
